Date,Open,High,Low,Close,SharesTraded,Turnover(Rs.Cr)
26-Apr-2018,30475.60,30498.95,30300.75,30326.80,204782454,4511.30
27-Apr-2018,30460.95,30592.65,30436.50,30513.40,137123897,3391.08
30-Apr-2018,30610.10,30706.15,30584.30,30682.65,112785219,2917.57
02-May-2018,30794.30,30817.40,30206.75,30287.90,140275139,3762.99
03-May-2018,30257.45,30276.90,29797.50,29898.90,145145333,4942.34
04-May-2018,29966.60,29967.45,29681.35,29703.95,135649117,3360.45
07-May-2018,29821.85,29956.85,29743.55,29939.00,102467549,2855.95
08-May-2018,30014.85,30026.05,29817.75,29842.50,140996176,3315.13
09-May-2018,29792.05,29809.50,29661.20,29668.95,101008098,2818.77
10-May-2018,29714.30,29761.30,29246.95,29284.80,130696855,3057.47
11-May-2018,29370.85,29397.20,29151.30,29288.65,198710038,3646.60
14-May-2018,29360.60,29362.60,29103.65,29148.45,152230073,3698.45
15-May-2018,29141.30,29478.25,28897.25,29052.60,188765005,4468.65
16-May-2018,28932.05,29126.85,28747.15,29022.10,224077950,4039.29
17-May-2018,29115.60,29172.50,28965.75,29017.20,183873505,3817.93
18-May-2018,29045.80,29048.75,28549.35,28600.70,163474683,3630.30
21-May-2018,28633.95,28669.35,28113.75,28179.45,179610887,4013.68
22-May-2018,28184.30,28593.75,28097.15,28562.50,231763345,4622.95
23-May-2018,28565.60,28703.30,28364.80,28411.30,183080546,3742.44
24-May-2018,28509.70,28569.95,28302.65,28481.20,165441580,3805.76
25-May-2018,28576.85,29010.55,28521.80,28963.40,185604666,4684.67
28-May-2018,29135.90,29474.65,29122.60,29447.10,189449379,4179.44
29-May-2018,29453.25,29582.70,29321.40,29428.75,233966013,4525.49
30-May-2018,29249.60,29468.75,29211.35,29343.35,187961091,4138.03
31-May-2018,29443.65,29514.25,29184.30,29241.40,312029492,11095.90
01-Jun-2018,29277.45,29380.75,28916.25,28948.00,176623495,3558.47
04-Jun-2018,29091.85,29105.95,28624.10,28689.25,171643843,3574.59
05-Jun-2018,28684.70,28696.85,28259.65,28390.70,188235283,3410.15
06-Jun-2018,28409.00,28860.75,28382.35,28824.15,165892934,3293.55
07-Jun-2018,28954.90,29232.45,28945.65,29204.65,173058543,3226.94
08-Jun-2018,29120.50,29328.60,29036.85,29320.60,188729361,3517.87
11-Jun-2018,29412.90,29497.00,29309.90,29339.15,176105281,3350.17
