SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
LOVABLE,EQ,58.5,59.8,58.5,59.4,59.2,58.45,2491,147538.4,27-OCT-2019,106,INE597L01014,
LPDC,EQ,1.8,1.85,1.7,1.85,1.85,1.7,1301,2392.3,27-OCT-2019,14,INE197J01017,
LSIL,EQ,0.5,0.5,0.45,0.45,0.5,0.45,136620,65553.7,27-OCT-2019,98,INE093R01011,
LT,EQ,1436.7,1438.95,1428.85,1434.4,1435.45,1425,398268,571102409.2,27-OCT-2019,19137,INE018A01030,
LTI,EQ,1680,1687.7,1652.1,1668.3,1656.95,1673.1,18512,31039470.9,27-OCT-2019,1569,INE214T01019,
LTTS,EQ,1475,1494.8,1474.85,1489.05,1492,1460.35,23865,35416115.25,27-OCT-2019,2495,INE010V01017,
LUMAXIND,EQ,1235,1280,1235,1273.2,1270,1226.45,1805,2283824.4,27-OCT-2019,236,INE162B01018,
LUMAXTECH,EQ,93.45,93.45,88.6,90,89.95,89.95,4786,432777.05,27-OCT-2019,124,INE872H01027,
LUPIN,EQ,735,739.3,728.85,734.35,735,734.1,82202,60410519.65,27-OCT-2019,2274,INE326A01037,
LUXIND,EQ,1230.6,1248.8,1202.3,1213.45,1213,1219.05,28255,34484761.1,27-OCT-2019,529,INE150G01020,
LYKALABS,EQ,17.05,18.45,17.05,18.05,18.2,17.45,12540,223661.35,27-OCT-2019,66,INE933A01014,
LYPSAGEMS,EQ,4.5,4.5,4,4.25,4.2,4.15,3549,15653.8,27-OCT-2019,20,INE142K01011,
M&M,EQ,584.45,595,580,591.5,589.5,577.7,852012,502076389.5,27-OCT-2019,15271,INE101A01026,
M&MFIN,EQ,338.9,339.5,336.05,338.05,338.2,337.25,141524,47839313.75,27-OCT-2019,2188,INE774D01024,
M&MFIN,N3,1261.01,1290,1261.01,1284.82,1290,1290,56,71950.1,27-OCT-2019,2,INE774D08MG3,
M100,EQ,17.2,17.2,17.03,17.07,17.1,17,7479,127978.7,27-OCT-2019,78,INF247L01023,
M50,EQ,111.66,114.38,111.66,113.97,113.89,111.57,229,25869.01,27-OCT-2019,9,INF247L01536,
MAANALU,EQ,62.95,63.85,58.2,60.4,60.25,61.1,2761,167028.1,27-OCT-2019,86,INE215I01019,
MADHAV,EQ,24,24.85,23.1,23.55,24,23.1,236,5559.5,27-OCT-2019,16,INE925C01016,
MADHUCON,EQ,4.05,4.05,4.05,4.05,4.05,3.9,18244,73888.2,27-OCT-2019,5,INE378D01032,
MADRASFERT,EQ,20.5,20.6,20.25,20.4,20.25,20.45,32084,656091.6,27-OCT-2019,154,INE414A01015,
MAGADSUGAR,EQ,105.35,105.35,100.05,100.8,100.25,100.6,2568,260019.55,27-OCT-2019,43,INE347W01011,
MAGMA,EQ,50.7,53.05,50.35,52.3,52,49.65,18266,949103.6,27-OCT-2019,200,INE511C01022,
MAGNUM,BE,3.6,3.6,3.6,3.6,3.6,3.45,155,558,27-OCT-2019,3,INE387I01016,
MAHABANK,EQ,10.9,11.15,10.85,11.05,11.05,10.75,337684,3730071.25,27-OCT-2019,832,INE457A01014,
MAHAPEXLTD,BE,85.45,90,85.45,85.9,90,89.9,49,4209.8,27-OCT-2019,3,INE843B01013,
MAHASTEEL,EQ,154.05,160,154,159.35,159.8,156.55,3760,594321.6,27-OCT-2019,54,INE451L01014,
MAHESHWARI,EQ,238.7,239.5,236,237.7,239.5,237.2,9055,2146954.7,27-OCT-2019,85,INE263W01010,
MAHICKRA,SM,86.9,86.9,86.9,86.9,86.9,85.2,3000,260700,27-OCT-2019,1,INE961Y01015,
MAHINDCIE,EQ,155,156.75,154,155.6,156.5,152.65,27364,4254413.95,27-OCT-2019,592,INE536H01010,
MAHLIFE,EQ,425,432,425,427.6,426,425.25,3289,1409538.4,27-OCT-2019,169,INE813A01018,
MAHLOG,EQ,347.3,363,345.5,359.25,359,351.15,7500,2676059.05,27-OCT-2019,498,INE766P01016,
MAHSCOOTER,EQ,4549.5,4619,4549.5,4599.15,4595,4547.35,2139,9833298.6,27-OCT-2019,280,INE288A01013,
MAHSEAMLES,EQ,360.6,361.5,357.1,360.3,361.5,357.9,2199,788581.05,27-OCT-2019,57,INE271B01025,
MAITHANALL,EQ,448.4,448.45,423.55,441.45,441.65,436.55,7425,3271054.5,27-OCT-2019,415,INE683C01011,
MAJESCO,EQ,405.1,413.95,405.1,411.4,412.05,409.05,3897,1594539.8,27-OCT-2019,185,INE898S01029,
MALUPAPER,EQ,24.7,24.85,24.25,24.7,24.8,24.6,6534,160894.4,27-OCT-2019,71,INE383H01017,
MAN50ETF,EQ,120,126,117,118.42,118.25,117,1099,130375.4,27-OCT-2019,24,INF769K01EG9,
MANAKALUCO,EQ,4.3,4.6,4.3,4.55,4.5,4.3,2780,12752.25,27-OCT-2019,12,INE859Q01017,
MANAKSIA,EQ,33.6,35.25,33.4,33.95,33.45,34.5,2950,100085.3,27-OCT-2019,33,INE015D01022,
MANAKSTEEL,EQ,11.15,11.2,10.1,10.7,10.7,10.75,1109,11936.1,27-OCT-2019,29,INE824Q01011,
MANALIPETC,EQ,17.25,17.25,16.8,17,16.9,17,100771,1715032.6,27-OCT-2019,379,INE201A01024,
MANAPPURAM,EQ,164,167.7,160.85,163.6,163.3,164.3,562480,92480820,27-OCT-2019,4383,INE522D01027,
MANAPPURAM,NB,1990,1990,1990,1990,1990,1972,40,79600,27-OCT-2019,2,INE522D07669,
MANGALAM,EQ,26.4,27.5,26.4,27,27.3,26.2,18118,488034.1,27-OCT-2019,170,INE584F01014,
MANGCHEFER,EQ,30.25,30.45,29.4,30,30.45,29.55,7616,228492.45,27-OCT-2019,155,INE558B01017,
MANGLMCEM,EQ,305,308,297.7,304.45,298.9,301,6006,1830864.55,27-OCT-2019,185,INE347A01017,
MANINDS,EQ,42.15,43.25,42.15,43.15,43.25,42.15,9642,412914.45,27-OCT-2019,121,INE993A01026,
MANINFRA,EQ,26,26.9,25.65,26.25,26.1,25.9,68162,1797986.45,27-OCT-2019,231,INE949H01023,
MANPASAND,BZ,4.8,5.3,4.8,4.8,4.8,5.05,289795,1399668.9,27-OCT-2019,281,INE122R01018,
MANUGRAPH,EQ,13.4,14.5,13.4,14.25,14.25,13.95,165,2310.65,27-OCT-2019,8,INE867A01022,
MARALOVER,EQ,20,20.9,19.7,20.3,19.7,20.2,2568,52274.2,27-OCT-2019,24,INE882A01013,
MARATHON,EQ,71.1,71.5,69,70.25,70,71.15,2615,184615.45,27-OCT-2019,78,INE182D01020,
